sistema,uf,competencia,cnes,procedimento,qtd,valor
SIA,SP,202501,2080338,0206020031,325.0,44333.25
SIA,SP,202501,2080338,0206030037,347.0,48104.61
SIA,SP,202501,2080338,0206010079,346.0,33714.24
SIA,SP,202501,2088517,0206010079,129.0,12569.76
SIA,SP,202501,2088517,0206020031,9.0,1227.69
SIA,SP,202501,2080338,0206030010,322.0,44638.86
SIA,SP,202501,2077477,0208010033,21.0,8044.47
SIA,SP,202501,2077477,0206010079,586.0,57099.84
SIA,SP,202501,2077477,0206030010,886.0,122826.18
SIA,SP,202501,2077477,0206020031,1012.0,138046.92
SIA,SP,202501,2077477,0206010010,165.0,14315.4
SIA,SP,202501,2077620,0206010079,252.0,24554.88
SIA,SP,202501,2077620,0206030029,58.0,5031.5
SIA,SP,202501,2077620,0206030010,125.0,17328.75
SIA,SP,202501,2077477,0206030037,881.0,122133.03
SIA,SP,202501,2077477,0206010052,128.0,11104.0
SIA,SP,202501,2077477,0206030029,48.0,4164.0
SIA,SP,202501,6916074,0211020036,485.0,2497.75
SIA,SP,202501,9242295,0211020036,400.0,2060.0
SIA,SP,202501,2688573,0206010079,349.0,34006.56
SIA,SP,202501,2688573,0206020031,201.0,27418.41
SIA,SP,202501,2066092,0206010044,104.0,9022.0
SIA,SP,202501,2066092,0206030010,439.0,60858.57
SIA,SP,202501,2066092,0206010010,102.0,8849.52
SIA,SP,202501,2066092,0206020031,275.0,37512.75
SIA,SP,202501,2066092,0206010079,632.0,61582.08
SIA,SP,202501,2076926,0206010044,121.0,10496.75
SIA,SP,202501,2076926,0206010028,87.0,8795.7
SIA,SP,202501,2076926,0206010079,454.0,44237.76
SIA,SP,202501,2077477,0206010036,61.0,5292.36
SIA,SP,202501,2077477,0206010044,147.0,12752.25
SIA,SP,202501,2079321,0206030029,32.0,2776.0
SIA,SP,202501,2079321,0206020031,264.0,36012.24
SIA,SP,202501,2079321,0206010079,446.0,43458.24
SIA,SP,202501,2079321,0206010028,263.0,26589.3
SIA,SP,202501,2080338,0211020036,181.0,932.15
SIA,SP,202501,2071568,0206020031,791.0,107900.31
SIA,SP,202501,2071568,0206030037,77.0,10674.51
SIA,SP,202501,2071568,0208010033,486.0,186172.02
SIA,SP,202501,2077477,0206010028,129.0,13041.9
SIA,SP,202501,2066092,0206010036,35.0,3036.6
SIA,SP,202501,9492380,0211020036,380.0,1957.0
SIA,SP,202501,2077620,0206030037,131.0,18160.53
SIA,SP,202501,2077477,0208010025,19.0,7761.88
SIA,SP,202501,2080338,0206010028,98.0,9907.8
SIA,SP,202501,2088517,0206030037,14.0,1940.82
SIA,SP,202501,2066092,0206030037,448.0,62106.24
SIA,SP,202501,2079321,0206030037,227.0,31469.01
SIA,SP,202501,2688573,0206030010,438.0,60719.94
SIA,SP,202501,2076926,0206030010,510.0,70701.3
SIA,SP,202501,2688573,0206030037,449.0,62244.87
SIA,SP,202501,2079321,0206030010,256.0,35489.28
SIA,SP,202501,2079321,0206020015,16.0,1388.0
SIA,SP,202501,2080338,0206010010,82.0,7114.32
SIA,SP,202501,2077590,0208010033,211.0,80827.77
SIA,SP,202501,2089084,0206030010,108.0,14972.04
SIA,SP,202501,2077590,0206030037,438.0,60719.94
SIA,SP,202501,2079798,0206030037,384.0,53233.92
SIA,SP,202501,2079798,0206030010,412.0,57115.56
SIA,SP,202501,9465464,0206030037,466.0,64601.58
SIA,SP,202501,9465464,0206030010,463.0,64185.69
SIA,SP,202501,2077477,0206020023,17.0,1474.75
SIA,SP,202501,2089084,0206030037,124.0,17190.12
SIA,SP,202501,2066092,0206010052,27.0,2342.25
SIA,SP,202501,2077590,0206030010,493.0,68344.59
SIA,SP,202501,2089696,0206020031,69.0,9412.29
SIA,SP,202501,9465464,0206020031,126.0,17187.66
SIA,SP,202501,2075962,0206020015,23.0,1995.25
SIA,SP,202501,2075962,0206010028,447.0,45191.7
SIA,SP,202501,2079321,0206010044,113.0,9802.75
SIA,SP,202501,2089696,0206030037,33.0,4574.79
SIA,SP,202501,2075962,0206010079,249.0,24262.56
SIA,SP,202501,2089696,0206030010,38.0,5267.94
SIA,SP,202501,2077590,0206020031,556.0,75843.96
SIA,SP,202501,9472940,0206020031,271.0,36967.11
SIA,SP,202501,2077531,0206030010,124.0,17190.12
SIA,SP,202501,9472940,0206030010,6.0,831.78
SIA,SP,202501,2075962,0206030037,67.0,9288.21
SIA,SP,202501,9400109,0211020036,371.0,1910.65
SIA,SP,202501,2077590,0208010025,204.0,83338.08
SIA,SP,202501,2075962,0206020031,530.0,72297.3
SIA,SP,202501,2089084,0206020031,89.0,12140.49
SIA,SP,202501,2080338,0206030029,32.0,2776.0
SIA,SP,202501,5595746,0211020036,198.0,1019.7
SIA,SP,202501,2088517,0211020036,108.0,556.2
SIA,SP,202501,2088517,0206030029,4.0,347.0
SIA,SP,202501,9465464,0206010079,448.0,43653.12
SIA,SP,202501,2089084,0206010079,158.0,15395.52
SIA,SP,202501,9912266,0211020036,428.0,2204.2
SIA,SP,202501,2075962,0206030029,32.0,2776.0
SIA,SP,202501,2075962,0206030010,65.0,9010.95
SIA,SP,202501,2075962,0206010036,35.0,3036.6
SIA,SP,202501,2088517,0206030010,12.0,1663.56
SIA,SP,202501,2081970,0206030010,203.0,28141.89
SIA,SP,202501,2082829,0206010028,205.0,20725.5
SIA,SP,202501,2082829,0206010079,528.0,51448.32
SIA,SP,202501,2075962,0206010044,73.0,6332.75
SIA,SP,202501,2077477,0211020060,33.0,990.0
SIA,SP,202501,2081970,0206010079,453.0,44140.32
SIA,SP,202501,2089696,0211020036,48.0,247.2
SIA,SP,202501,2077590,0206010079,59.0,5748.96
SIA,SP,202501,2079798,0206010052,111.0,9629.25
SIA,SP,202501,2079798,0206010079,219.0,21339.36
SIA,SP,202501,2077531,0206010079,17.0,1656.48
SIA,SP,202501,7582617,0206030010,81.0,11229.03
SIA,SP,202501,2076926,0206030037,17.0,2356.71
SIA,SP,202501,2076926,0206010036,68.0,5899.68
SIA,SP,202501,9472940,0206010079,666.0,64895.04
SIA,SP,202501,2077620,0206010028,99.0,10008.9
SIA,SP,202501,2077477,0206020015,20.0,1735.0
SIA,SP,202501,7582617,0206030037,87.0,12060.81
SIA,SP,202501,2082829,0206010044,73.0,6332.75
SIA,SP,202501,2081970,0206030037,197.0,27310.11
SIA,SP,202501,7582617,0208010025,180.0,73533.6
SIA,SP,202501,2082829,0206030010,89.0,12338.07
SIA,SP,202501,2081970,0206010052,18.0,1561.5
SIA,SP,202501,2079321,0206010010,38.0,3296.88
SIA,SP,202501,2066572,0206020015,2.0,173.5
SIA,SP,202501,2688573,0206010044,58.0,5031.5
SIA,SP,202501,2077531,0206010044,12.0,1041.0
SIA,SP,202501,2081970,0206010028,72.0,7279.2
SIA,SP,202501,2082829,0206030029,40.0,3470.0
SIA,SP,202501,2076926,0206020031,355.0,48425.55
SIA,SP,202501,7582617,0206010079,181.0,17636.64
SIA,SP,202501,6123740,0206030010,1932.0,267833.16
SIA,SP,202501,6123740,0206020031,2375.0,323973.75
SIA,SP,202501,6123740,0211020036,1776.0,9146.4
SIA,SP,202501,2688573,0206010028,116.0,11727.6
SIA,SP,202501,5874998,0211020036,352.0,1812.8
SIA,SP,202501,2077507,0206010079,1.0,97.44
SIA,SP,202501,9465464,0206010052,16.0,1388.0
SIA,SP,202501,9465464,0206010010,74.0,6420.24
SIA,SP,202501,2077620,0206010010,28.0,2429.28
SIA,SP,202501,2077620,0206020031,96.0,13095.36
SIA,SP,202501,2079798,0206020031,341.0,46515.81
SIA,SP,202501,2076926,0206010052,16.0,1388.0
SIA,SP,202501,2089084,0206010028,116.0,11727.6
SIA,SP,202501,7582617,0206020031,89.0,12140.49
SIA,SP,202501,7582617,0206010010,14.0,1214.64
SIA,SP,202501,2082829,0206020015,11.0,954.25
SIA,SP,202501,2081970,0206020031,236.0,32192.76
SIA,SP,202501,2082829,0206010010,65.0,5639.4
SIA,SP,202501,7582617,0206010028,55.0,5560.5
SIA,SP,202501,7582617,0208010033,180.0,68952.6
SIA,SP,202501,2077531,0206010052,23.0,1995.25
SIA,SP,202501,2688689,0208010025,644.0,263086.88
SIA,SP,202501,2688689,0208010033,552.0,211454.64
SIA,SP,202501,2077590,0206010028,20.0,2022.0
SIA,SP,202501,0483214,0206010079,345.0,33616.8
SIA,SP,202501,0483214,0206030010,455.0,63076.65
SIA,SP,202501,2688689,0206010028,130.0,13143.0
