sistema,uf,competencia,cnes,procedimento,qtd,valor
SIA,BA,202501,9560785,0211020036,230.0,1184.5
SIA,BA,202501,2386569,0206020015,5.0,433.75
SIA,BA,202501,0829781,0206010079,270.0,26308.8
SIA,BA,202501,0829781,0206020031,184.0,25099.44
SIA,BA,202501,2799758,0206020031,261.0,35603.01
SIA,BA,202501,0003859,0206030037,74.0,10258.62
SIA,BA,202501,0829781,0206030037,149.0,20655.87
SIA,BA,202501,3972925,0206030010,123.0,17051.49
SIA,BA,202501,2799758,0206010079,708.0,68987.52
SIA,BA,202501,2799758,0206010044,180.0,15615.0
SIA,BA,202501,3972925,0206010079,121.0,11790.24
SIA,BA,202501,0829781,0211020036,324.0,1668.6
SIA,BA,202501,0829781,0206010028,91.0,9200.1
SIA,BA,202501,0829781,0206030010,163.0,22596.69
SIA,BA,202501,2799286,0206020031,17.0,2318.97
SIA,BA,202501,0003859,0206030010,70.0,9704.1
SIA,BA,202501,0829781,0206010010,31.0,2689.56
SIA,BA,202501,0003859,0206010079,34.0,3312.96
SIA,BA,202501,2799758,0206030010,206.0,28557.78
SIA,BA,202501,2913348,0206010044,12.0,1041.0
SIA,BA,202501,2913348,0211020036,96.0,494.4
SIA,BA,202501,2524996,0211020036,20.0,103.0
SIA,BA,202501,4145542,0206020031,46.0,6274.86
SIA,BA,202501,9837841,0206030010,21.0,2911.23
SIA,BA,202501,0786608,0206020031,59.0,8048.19
SIA,BA,202501,2388057,0206010079,373.0,36345.12
SIA,BA,202501,2799758,0206030037,104.0,14417.52
SIA,BA,202501,3972925,0206030037,125.0,17328.75
SIA,BA,202501,3271110,0206030010,108.0,14972.04
SIA,BA,202501,2627418,0206010079,71.0,6918.24
SIA,BA,202501,2388057,0206020031,185.0,25235.85
SIA,BA,202501,9372822,0206010044,34.0,2949.5
SIA,BA,202501,2627418,0206030010,27.0,3743.01
SIA,BA,202501,4028155,0206010010,4.0,347.04
SIA,BA,202501,0004294,0206020031,265.0,36148.65
SIA,BA,202501,0004294,0206010079,999.0,97342.56
SIA,BA,202501,0003816,0211020036,511.0,2631.65
SIA,BA,202501,2386569,0206010079,153.0,14908.32
SIA,BA,202501,0884189,0206010079,126.0,12277.44
SIA,BA,202501,4028155,0206030010,216.0,29944.08
SIA,BA,202501,4028155,0206020031,116.0,15823.56
SIA,BA,202501,3968537,0206010044,10.0,867.5
SIA,BA,202501,2386569,0206020031,56.0,7638.96
SIA,BA,202501,0786608,0206030010,65.0,9010.95
SIA,BA,202501,0004294,0206030010,220.0,30498.6
SIA,BA,202501,2913348,0206010079,98.0,9549.12
SIA,BA,202501,2799758,0206010010,193.0,16744.68
SIA,BA,202501,9383298,0206010079,83.0,8087.52
SIA,BA,202501,9372822,0206010079,191.0,18611.04
SIA,BA,202501,0786608,0211020036,91.0,468.65
SIA,BA,202501,0786608,0206010079,101.0,9841.44
SIA,BA,202501,0786608,0206030029,11.0,954.25
SIA,BA,202501,2913348,0206030029,11.0,954.25
SIA,BA,202501,0829781,0206030029,48.0,4164.0
SIA,BA,202501,2799758,0206010028,67.0,6773.7
SIA,BA,202501,2510936,0211020036,100.0,515.0
SIA,BA,202501,2913348,0206010010,11.0,954.36
SIA,BA,202501,2913348,0206030037,48.0,6654.24
SIA,BA,202501,2388057,0206030010,228.0,31607.64
SIA,BA,202501,2388057,0206030037,258.0,35766.54
SIA,BA,202501,2388057,0206010028,20.0,2022.0
SIA,BA,202501,2388057,0206010052,29.0,2515.75
